id,url,label
1,http://malicious-phishing-url.com,phishing
2,http://example-safe-url.com,safe
3,https://instaproapk.su/,phishing
4,https://soeaung.soeaung311092.workers.dev/,phishing
5,http://unbouncepages.com/meta-business-support-14003956549/,phishing
6,http://tested-polar-ground.glitch.me/,phishing
7,http://instagram506308.blogspot.com/,phishing
8,http://mail.klaaimm-sekarangg.d9mswq.my.id/,phishing
9,https://securepage.cloud/81b34fa75x89cb428bnbb3b1e15j4f10f867.html,phishing
10,https://bitcoin-cnwallet.org/,phishing
11,https://ipfs.io/ipfs/bafkreiav6otfhjrwieqqqma7o7pfl42j56eaaois2u77hamvfrv2h6o27u,phishing
12,http://imrtokien.com/,phishing
13,https://eppasaa.com/m/register?codeNumber=655714,phishing
14,https://www.baoshengtj.com/aneffof/,phishing
15,https://fddsgtdssdd.weebly.com/,phishing
16,http://currently4988.weebly.com/,phishing
17,https://apology-main-id100407235122.vercel.app/true.html,phishing
18,https://kerrakounn_loggeenius.godaddysites.com/,phishing
19,https://0zhe.com/,phishing
20,https://sspgtravel.com/sight/order/index.php?email=3mail@b.c,phishing
21,https://juno-102554.square.site/,phishing
22,https://juno-102554.weeblysite.com/,phishing
23,https://staemcomunnitty.com/gift/activation=Dor5Fhnm6w,phishing
24,https://u.to/zPg5Ig,phishing
25,https://1211r6.vercel.app/intest.html,phishing
26,https://amazing-main-id100527340122.vercel.app/true.html,phishing
27,https://innester-pdf.pages.dev/,phishing
28,https://aolconsultantisheree.weebly.com/,phishing
29,https://reshobyadav.github.io/clone-netflix,phishing
30,https://9504057365.com/,phishing
31,https://pby.shishangyike.com/,phishing
32,https://dhlcr.com/mx/,phishing
33,https://ladgerr-wali-elt.netlify.app/,phishing
34,https://shaw-104492.weeblysite.com/,phishing
35,https://387sfyrukkuyuyfygfmank85387sfyruk5387sfyrukkuyuyfygfmank853838.weeblysite.com/,phishing
36,https://flaggedbrandadvantage.vercel.app/get_help,phishing
37,https://channelhub.info/8fadc49d4x4f5d402bnb3a7d3d8j3bc0b746.html,phishing
38,https://against-main-id100472351202.vercel.app/rotk.html,phishing
39,http://w3.mred365.cn/,phishing
40,https://telstra-support.square.site/,phishing
41,http://bhh.mred365.cn/,phishing
42,http://jovial-gingersnap-2906b9.netlify.app/,phishing
43,http://ehq.mred365.cn/,phishing
44,https://shawwebmailcom.weebly.com/,phishing
45,https://reportinfringementtoolmediahub.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,phishing
46,http://ylef.plaisnrf.net/,phishing
47,https://currently8220.weebly.com/,phishing
48,https://uopholddlginj.godaddysites.com/,phishing
49,https://staemcommunfty.com/638467532516,phishing
50,https://positiv-rnscj.glitch.me/public/Sbcrbc.html,phishing
51,https://onlineweb3extenstion.lol/,phishing
52,https://appealnoticedigitalpros-iota.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,phishing
53,http://yah0o.rf.gd/,phishing
54,https://kiiikoin_lognn.godaddysites.com/,phishing
55,http://sites.google.com/view/twqzihfkdjrkg/home/,phishing
56,https://2366xyx.com/,phishing
57,https://login-gehjdfmini.webflow.io/,phishing
58,https://klucoin-login.webflow.io/,phishing
59,https://attempt-main-id100273054122.vercel.app/true.html,phishing
60,http://support-metamask-cdn-io.webflow.io/,phishing
61,http://metamaskluwogin.webflow.io/,phishing
62,http://smart-tomato-zs44w6.mystrikingly.com/,phishing
